	MutationType	DBS_COL_A	DBS_COL_B	DBS_COL_C	DBS_COL_D	DBS_COL_E	DBS_COL_F
59	TC_GG	3.28132387555592e-05	1.45540422149971e-19	6.02150661724181e-06	2.99593070487817e-05	0.00703865678689141	3.74981566709622e-05
60	TC_GT	4.65961200237267e-05	1.45046278356163e-07	1.16149705963125e-06	8.56894492607591e-05	0.0469581497863466	4.27758454735333e-05
61	TG_AA	0.0639304716636913	0.0152560707434375	1.76019282858645e-06	1.53735593247155e-19	8.00294403886992e-05	2.41824029030719e-05
62	TG_AC	0.00549105380191072	1.45540422149971e-19	0.00251687997130221	3.81396095713371e-05	0.00233337474180626	4.94242587131191e-05
63	TG_AT	1.66366436191364e-19	0.0430076281818966	1.57110297980433e-19	0.0202209638531848	1.38193908046545e-19	0.0776159376655037
64	TG_CA	0.0597342327835414	1.45540422149971e-19	9.84150537490027e-06	3.23653955184914e-05	5.72877643354787e-06	3.97574728347907e-05
65	TG_CC	0.0214140046568783	1.45540422149971e-19	9.21929937223839e-07	2.78746694035917e-05	3.13011731371294e-05	2.17711960381456e-05
66	TG_CT	1.36755731974495e-05	0.0221383834244492	0.00477962822860869	1.53735593247155e-19	3.54398012212155e-09	0.112908287513629
67	TG_GA	0.000126459069475921	0.00289177458195209	1.57110297980433e-19	0.0176254936718428	1.36082932126266e-05	0.00981733929093895
68	TG_GC	3.13746744358714e-05	0.000749283593745066	2.17784576922976e-07	0.0116496622037128	4.3468829316258e-05	7.11099033242611e-05
69	TG_GT	5.16789612389858e-05	0.0955724259818104	0.00947961180128041	3.60553093260924e-05	1.04825971709872e-05	5.84488963909622e-05
70	TT_AA	0.0575822195889678	0.0198353908607282	0.0110038561196306	1.53735593247155e-19	0.0244693188074025	1.52211321022519e-19
71	TT_AC	8.78528136139065e-05	2.33526703043916e-06	0.00636640820414902	4.48967078054539e-05	2.02716462575903e-05	0.00028816022718907
72	TT_AG	0.0255620892705396	1.45540422149971e-19	3.35656777051526e-06	7.68805479057492e-06	8.23392528334892e-05	8.26336651269797e-05
73	TT_CA	0.0190307688521273	1.45540422149971e-19	1.57110297980433e-19	0.000228099584251982	1.82443360019224e-05	4.98184225250689e-05
74	TT_CC	0.000157638821435307	1.45540422149971e-19	1.56391744796122e-06	0.00357510772756012	2.14600822423166e-05	2.12953817045456e-05
75	TT_CG	2.69548565455366e-05	1.45540422149971e-19	2.32044472355571e-06	0.00365876900595665	3.58702210239762e-05	3.21907032410314e-05
76	TT_GA	0.0130537331996213	1.45540422149971e-19	1.57110297980433e-19	0.00344759259516622	1.38193908046545e-19	7.25592883760858e-05
77	TT_GC	2.1494944830193e-05	1.45540422149971e-19	1.58440472713375e-06	9.52536682756248e-05	4.74013562709081e-05	0.0149754863035307
78	TT_GG	4.31844890853172e-05	1.45540422149971e-19	6.14373036037984e-06	0.00188011462015601	2.06158904402524e-05	2.6574171569899e-05
