	sample_name_R	SBS_LIV_A	SBS_LIV_B	SBS_LIV_C	SBS_LIV_D	SBS_LIV_E	SBS_LIV_F	SBS_LIV_G	SBS_LIV_H	SBS_LIV_I	SBS_LIV_J	SBS_LIV_K	SBS_LIV_L	SBS_LIV_M
207	PD37105b_lo011	169.469688992753	109.764390014202	5.96257809264792	174.26403666483	2.41143240092486e-12	109.550288733033	58.3682935517958	20.0979300024744	26.8334307158297	301.323342398441	76.7440083237085	79.7617886391163	53.8787055986828
208	PD37105b_lo012	20.0746880154652	215.003805488655	76.1596595626639	153.25849238538	35.2424922101868	103.996359511132	233.818483781153	434.498118225874	98.3792183217573	153.778886920475	77.289935432603	364.086282332046	242.43397007741
209	PD37105b_lo013	6.07094112167705e-08	65.4982109008426	17.0164444456572	69.4849032653577	15.7964820409557	65.5945467975611	3.4970036906791e-12	5.71221734151288e-05	0.000423811999219212	100.232967818206	33.8793560647414	3.34580881859185e-12	3.51506265443476
210	PD37105b_lo015	240.942652452437	123.944911547519	22.1931195342719	131.780433926942	17.799400504212	55.0874903837941	36.2508276567351	109.482691355245	24.2661876898805	269.291260197066	118.263092081678	110.276094883866	98.4398733635235
211	PD37105b_lo016	255.951286906128	219.630721956745	36.9659885783037	76.8113125794719	25.1242163392931	175.201609324303	26.2688539979026	116.901986319662	63.2820603458527	301.224975895019	51.846981995631	239.405530317366	178.398293412117
212	PD37105b_lo017	128.24028573627	246.239928133684	20.9303686879714	103.583854084907	30.7383082497584	127.793236932791	177.001148281752	82.237390173646	3.4103403797355e-12	418.844466301423	60.8517249634881	51.0020383306569	55.5503106635497
213	PD37105b_lo018	8.14734453268843e-06	164.328338719381	19.6580785044987	210.759415366215	26.7670949927423	216.641248134748	77.0873487364568	29.7820454049386	21.389567306855	408.46140333516	46.4350623709439	90.9991754228933	83.7089595946834
214	PD37105b_lo019	41.5526560562725	158.648150151364	9.89891725553322	210.350263170924	27.6522149497633	68.1987855413549	0.00196450944002134	10.1225725725093	5.40112745480512	293.035312187686	68.1737098883177	105.181160682833	36.8055026997631
215	PD37105b_lo020	143.207397050921	58.7724346644602	23.2527440060687	130.89843975582	45.2542337591405	24.3273093640435	5.78308261165526	3.97007538146341e-12	2.7576690341277e-12	316.30151677679	59.8521551003203	3.34580881859185e-12	150.371440511283
216	PD37105b_lo021	3.08686771373206e-12	218.970946979734	35.1296423820509	125.207805406979	21.0712943893832	102.283819154278	129.870949805164	264.282847727256	67.3072377602571	92.7385617094343	3.9430201579406e-08	151.314477036619	33.8410608368883
217	PD37105b_lo022	4.1590098317292	70.434065667697	31.6885672330344	70.1331239767133	49.9464900275386	190.785549467084	0.0715469766187032	57.6807770735337	53.1376746492939	261.450131610382	68.6876701804135	23.3285335546292	74.5130994891126
218	PD37105b_lo023	77.1055799663237	87.0045902382275	3.19804393721949	31.7693174104801	7.58047657742151	1.22343985375388	10.0648016840305	1.26273782084839	19.436590184391	51.0074204566124	21.2264097819945	9.80303071778392	29.336714585924
219	PD37105b_lo024	13.5232186599685	118.188572212796	15.8726583958457	164.487766684214	48.3168204337611	306.131803505973	59.775850494549	58.809914669736	64.1971216260023	361.023567042319	71.9051441852138	11.9452176656906	59.8367429346483
220	PD37105b_lo025	186.152568276009	125.839503231111	22.3886588292748	189.938728675879	10.649095869677	115.873332563353	29.0351154425919	143.424479647333	94.9578115644179	274.633000796856	103.964131317915	148.233756324336	72.930639148027
221	PD37105b_lo026	196.44068123485	168.827989643243	42.9970752876429	204.041090235634	58.8537070141633	96.7980758071471	0.128888167890999	3.03800803206288e-06	28.5524369090583	454.939024435743	96.6952012960654	147.831515338948	205.915130163493
222	PD37105b_lo027	3.78250677152749e-09	109.410228791258	5.80786703306962	177.861165497694	21.8083723546595	113.191607095994	80.2863730061234	39.4857237262104	2.7576690341277e-12	351.64897272688	72.119980750777	67.589522058673	38.8098075279846
223	PD37105b_lo028	0.0162086723659209	379.986932924843	55.147280691154	297.575688827727	39.2326428167207	152.994545765403	142.169474869073	414.721309474044	83.9802224956886	138.303546449628	0.000191550174576904	213.857031271612	85.0361492308381
