	sample_name_R	SBS_COL_A	SBS_COL_B	SBS_COL_C	SBS_COL_D	SBS_COL_E	SBS_COL_F	SBS_COL_G	SBS_COL_H	SBS_COL_I
627	O225:PD37265h5	30.3974545311579	165.827615373346	489.371696058468	460.849155839816	28.5908442583189	58.9899798689557	556.322511883198	218.428407770126	417.246771179913
628	O225:PD37265h6	69.3838899904107	204.357782006621	397.182536314038	514.07329101249	51.2365378462358	28.3362507698724	508.341058180976	144.22633873252	305.888548365168
629	O225:PD37265h8	77.6929859314703	229.478864942183	547.792178484003	420.32923683033	10.4208444383255	73.605700803351	454.395029049603	160.12076315926	342.183648887522
630	O232:10	0.000282683057404516	9.64224608634932e-12	1.45381834690665e-11	2.19216386590583	0.000197451518733072	0.000360346603024786	1.82627193265587	9.38334380458467e-12	1.00309598613643e-11
631	O232:12	0.0012271360321516	9.64224608634932e-12	4.25489258996611	1.57600344441238e-11	8.6178075432236e-12	7.42911028747562e-10	1.40888455940274e-11	15.3727250557787	2.39018790852446
632	O232:13	0.000960138758484482	2.29595395046367	21.135006631712	1.57600344441238e-11	8.6178075432236e-12	5.75114929148253	1.40888455940274e-11	21.8354780668361	1.00309598613643e-11
633	O232:PD36814i	27.8684305491071	136.558870943232	771.03444183955	790.943751050878	26.6994016865391	32.9937161013853	354.398848761134	147.884458937404	318.634739309026
634	O232:PD36814i3	35.1200128039114	74.6391146050345	826.251568604859	694.887836267582	30.6810126985968	71.3069419732099	295.918289567183	143.5414500203	217.666543213207
635	O232:PD36814i4	60.1730993234245	103.017757404744	544.981587625517	401.767459746375	48.5137860818904	33.4226561843883	438.037081016138	120.498165765493	162.60945921518
636	O232:PD37226h4	35.1428852066692	187.521812041149	2.80490518106047	226.435354919131	82.3153422479499	142.604038918602	1457.12187072559	222.114893582928	1.00309598613643e-11
637	O232:PD37226h7	23.5069554808123	292.788656796647	142.748291833895	309.875213231379	77.9528883264794	83.5183730761608	1339.68592305994	175.979984102982	5.78390926129946e-05
638	O232:PD37226h8	42.6207029660927	285.708415618012	239.09660502011	247.193583976263	67.3420890813968	114.452689848729	1252.79310978192	132.843189026792	3.15148523089349e-07
639	O232:PD37265i2	44.6713076218429	89.386073860034	470.845919931906	501.683142383189	15.588729100206	106.773372374261	216.38526870742	123.495072861085	364.185896962317
640	O232:PD37265i7	51.1740702662347	96.226780665559	412.900382106796	523.743584242882	43.797670394332	64.2616275460989	307.223556272343	165.13925196534	291.552913915922
641	O244:11	14.5497764270586	6.81980153355615	47.5149509843615	37.4733473539786	11.1064833548288	5.24230453169953	18.0326319382616	4.81820053743812e-11	7.2793663361236
642	O244:12	0.005266823852617	0.421199766503857	12.5924555428927	1.57600344441238e-11	8.6178075432236e-12	6.53254027771801e-12	1.40888455940274e-11	9.38334380458467e-12	3.54068267451969e-11
643	O244:9	0.656621529615859	9.64224608634932e-12	1.36201474034641	1.57600344441238e-11	0.000255340358196154	0.000268410624651049	1.40888455940274e-11	9.38334380458467e-12	1.00309598613643e-11
644	O244:PD36814k2	39.7815366325812	84.1209798233526	601.067524815442	689.45541040936	32.7696349295454	93.9200873671316	549.421297636994	152.22966866549	370.25780363045
645	O244:PD36814k6	91.4277441857758	92.8546763995888	552.482882697059	680.791502572865	11.6671717989381	133.650049207995	492.589567695491	147.74249503841	269.816294014684
646	O244:PD36814k7	68.8838504891363	101.161600480577	210.671601190037	747.46925134321	1.1557022225733	79.605347274584	523.625383480936	140.077030424304	394.382247931744
647	O244:PD36814k8	61.2274530046787	74.8081778397375	411.137503516836	666.345544192536	41.4388247080621	86.5602249466115	542.842138305404	236.468921729898	294.198839043625
648	O244:PD37265k	91.9247599903599	124.793801121974	725.367833393897	812.209510867999	33.5159587894563	129.614430858177	319.20082216152	238.174204905425	279.212762560094
649	O244:PD37265k2	67.8313807093978	109.262204627602	473.465452094067	807.974937376046	7.03113575475788	49.3652572096713	391.717038911404	105.175193116107	336.201180387192
650	O244:PD37265k3	18.5361314829604	100.499388459652	387.163412334521	751.720820365763	50.7395325956295	63.4483820668079	349.689854174476	307.56220083941	411.663350499039
651	O333:12	0.000302884473188396	9.64224608634932e-12	4.86019039369795	4.3059580692883e-11	8.6178075432236e-12	1.60951538309059	1.40888455940274e-11	7.6356191857283	1.91339719222207
652	O333:13	6.24973875251875e-12	5.78380566502688	44.7627293031671	18.5907498861714	8.6178075432236e-12	1.36205885283238	1.40888455940274e-11	9.38334380458467e-12	3.51899012050957
653	O333:14	0.000314225952004844	9.64224608634932e-12	0.903464500802078	2.11501014633848	0.000174456920762225	0.000236861692629473	1.40888455940274e-11	9.38334380458467e-12	1.00309598613643e-11
654	O333:17	0.000220917884010104	9.64224608634932e-12	1.55316344792852	1.57600344441238e-11	0.0006732723905913	0.000289496221761692	4.46495442851343	9.38334380458467e-12	1.00309598613643e-11
655	O333:PD36814l2	100.698646082832	101.536286203997	412.292140439615	552.123691470607	47.7288518572409	51.8504991392611	578.847420133104	139.17662138891	404.773072092496
656	O333:PD36814l4	64.1847959290169	118.606151788141	646.581166634173	607.860974776016	29.1669988759874	86.8362783378832	526.897797714465	239.153900750027	330.732986396053
657	O333:PD36814l7	85.1977237505677	159.155728740347	939.625451863212	632.32072975022	42.135371702621	124.412403182194	725.27885162971	95.1028549265705	435.790599091223
658	O333:PD36814l8	45.1960390168684	126.564165554768	539.892543107302	731.306510849763	43.9455537880243	108.343327957413	652.426737500763	359.591391023003	337.761478276039
659	O333:PD37226i5	122.886507129231	140.061197933514	207.567942321511	275.02576897509	33.8004261272156	45.9664587200892	466.64164913103	168.685787486123	298.390165698666
660	O333:PD37226i6	77.4582220858401	136.703931861731	491.325544097171	217.445495737454	15.7889301589974	116.886591139529	398.23823707471	271.339981304435	252.829531335054
